// classname|model_path|scale_x|scale_y|scale_z|entity_type|box_xmin|box_ymin|box_zmin|box_xmax|box_ymax|box_zmax|noshadow|solidflag|walk_speed|run_speed|speed|lighting|blending|target_sequence|misc_value|no_mip|spawn_sequence|description|color_r|color_g|color_b

// Quake 2
item_armor_shard|models/items/armor/shard/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Armor shard|0.3|1.0|1.0
item_bandolier|models/items/band/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Equipment belt|0.3|1.0|1.0
item_breather|models/items/breather/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Underwater breather|0.3|1.0|1.0
item_enviro|models/items/enviro/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Enviro-Suit|0.3|1.0|1.0
item_health_large|models/items/healing/large/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|+25 health|0.3|1.0|1.0
item_health_mega|models/items/mega_h/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|+100 health|0.3|1.0|1.0
item_health_small|models/items/healing/stimpack/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|+2 health|0.3|1.0|1.0
item_health|models/items/healing/medium/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|+10 health|0.3|1.0|1.0
item_invulnerability|models/items/invulner/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Invulnerability|0.3|1.0|1.0
item_pack|models/items/pack/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Heavy backpack|0.3|1.0|1.0
item_power_screen|models/items/armor/screen/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Power screen|0.3|1.0|1.0
item_power_shield|models/items/armor/shield/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Power shield|0.3|1.0|1.0
item_quad|models/items/quaddama/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Quad damage|0.3|1.0|1.0
item_silencer|models/items/silencer/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Silencer|0.3|1.0|1.0
key_airstrike_target|models/items/keys/target/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Tank commander's head|0.0|0.5|0.8
key_blue_key|models/items/keys/key/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Normal door key - blue|0.0|0.5|0.8
key_commander_head|models/monsters/commandr/head/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Tank commander's head (key)|0.0|0.5|0.8
key_data_cd|models/items/keys/data_cd/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Data CD key for computer centers|0.0|0.5|0.8
key_data_spinner|models/items/keys/spinner/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Data Spinner key for city computer|0.0|0.5|0.8
key_pass|models/items/keys/pass/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Security pass for secret level|0.0|0.5|0.8
key_power_cube|models/items/keys/power/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Warehouse circuits|0.0|0.5|0.8
key_pyramid|models/items/keys/pyramid/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Pyramid Key for entrance to jail3|0.0|0.5|0.8
key_red_key|models/items/keys/red_key/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-16.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|normal door key - red|0.0|0.5|0.8
light_mine1|models/objects/minelite/light1/tris.md2|1.0|1.0|1.0|general|-2.0|-2.0|-12.0|2.0|2.0|12.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Clean fluorescent light fixture|0.0|1.0|0.0
light_mine2|models/objects/minelite/light2/tris.md2|1.0|1.0|1.0|general|-2.0|-2.0|-12.0|2.0|2.0|12.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Dusty fluorescent light fixture|0.0|1.0|0.0
light||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Light|0.0|1.0|0.0
misc_actor||1.0|1.0|1.0|general|-16.0|-16.0|-24.0|16.0|16.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Actor|0.0|1.0|0.0
misc_banner|models/objects/banner/tris.md2|1.0|1.0|1.0|general|-4.0|-4.0|0.0|4.0|4.0|246.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Flowing banner|1.0|0.5|0.0
misc_bigviper|models/ships/bigviper/tris.md2|1.0|1.0|1.0|general|-176.0|-120.0|-24.0|176.0|120.0|72.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Large stationary Viper|1.0|0.5|0.0
misc_blackhole|models/objects/black/tris.md2|1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Blackhole|1.0|0.5|0.0
misc_deadsoldier|models/deadbods/dude/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|0.0|16.0|16.0|16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Dead guys! 6 of em!|1.0|0.5|0.0
misc_easterchick2|models/monsters/bitch/tris.md2|1.0|1.0|1.0|general|-32.0|-32.0|0.0|32.0|32.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Chick #2 sitting w/ different pose. Can be placed close to misc_eastertank's for full effect.|1.0|0.5|0.0
misc_easterchick|models/monsters/bitch/tris.md2|1.0|1.0|1.0|general|-32.0|-32.0|0.0|32.0|32.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Chick #1 sitting: Place her near misc_eastertank.|1.0|0.5|0.0
misc_eastertank|models/monsters/tank/tris.md2|1.0|1.0|1.0|general|-32.0|-32.0|-16.0|32.0|32.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Tank sitting down. Make him a chair out of brushes.|1.0|0.5|0.0
misc_explobox|models/objects/barrels/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|0.0|16.0|16.0|40.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Large exploding box|0.0|0.5|0.8
misc_gib_arm|models/objects/gibs/arm/tris.md2|1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|arm gib, use with target_spawner|1.0|0.0|0.0
misc_gib_head|models/objects/gibs/head/tris.md2|1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|head gib, use with target_spawner|1.0|0.0|0.0
misc_gib_leg|models/objects/gibs/arm/tris.md2|1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|leg gib, use with target_spawner|1.0|0.0|0.0
misc_insane|models/monsters/insane/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-24.0|16.0|16.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Insane Soldiers|1.0|0.5|0.0
misc_satellite_dish|models/objects/satellite/tris.md2|1.0|1.0|1.0|general|-64.0|-64.0|0.0|64.0|64.0|128.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Satellite Dish|1.0|0.5|0.0
misc_strogg_ship|models/ships/strogg1/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|0.0|16.0|16.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Strogg ship for flybys|1.0|0.5|0.0
misc_teleporter_dest|models/objects/dmspot/tris.md2|1.0|1.0|1.0|general|-32.0|-32.0|-24.0|32.0|32.0|-16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Teleport Destination: To hide the teleport pads, place them units 10 units into a brush or use an info_notnull.|1.0|0.0|0.0
misc_teleporter|models/objects/dmspot/tris.md2|1.0|1.0|1.0|general|-32.0|-32.0|-24.0|32.0|32.0|-16.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Teleporter : To hide the teleport pads, place them units 10 units into a brush.|1.0|0.0|0.0
misc_viper_bomb|models/objects/bomb/tris.md2|1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Viper Bomb|1.0|0.0|0.0
misc_viper|models/ships/viper/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|0.0|16.0|16.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Viper for flybys|1.0|0.5|0.0
monster_berserk|models/monsters/berserk/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-24.0|16.0|16.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Berserker|1.0|0.5|0.0
monster_boss2|models/monsters/boss2/tris.md2|1.0|1.0|1.0|general|-56.0|-56.0|0.0|56.0|56.0|80.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Hornet|1.0|0.5|0.0
monster_boss3_stand|models/monsters/boss3/rider/tris.md2|1.0|1.0|1.0|general|-32.0|-32.0|0.0|32.0|32.0|80.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Stationnary Makron|1|.5|0
monster_brain|models/monsters/brain/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-24.0|16.0|16.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Brains|1.0|0.5|0.0
monster_chick|models/monsters/bitch/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|0.0|16.0|16.0|56.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Iron Maiden|1.0|0.5|0.0
monster_commander_body|models/monsters/commandr/tris.md2|1.0|1.0|1.0|general|-32.0|-32.0|0.0|32.0|32.0|48.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Tank commander's decapitated body|1.0|0.5|0.0
monster_flipper|models/monsters/flipper/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-24.0|16.0|16.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Barracuda shark|1.0|0.5|0.0
monster_floater|models/monsters/float/tris.md2|1.0|1.0|1.0|general|-24.0|-24.0|-24.0|24.0|24.0|48.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Technician|1.0|0.5|0.0
monster_flyer|models/monsters/flyer/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-24.0|16.0|16.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Flyer|1.0|0.5|0.0
monster_gladiator|models/monsters/gladiatr/tris.md2|1.0|1.0|1.0|general|-32.0|-32.0|-24.0|32.0|32.0|64.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Gladiator|1.0|0.5|0.0
monster_gunner|models/monsters/gunner/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-24.0|16.0|16.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Gunner|1.0|0.5|0.0
monster_hover|models/monsters/hover/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-24.0|16.0|16.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Icarus|1.0|0.5|0.0
monster_infantry|models/monsters/infantry/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-24.0|16.0|16.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Infantry|1.0|0.5|0.0
monster_jorg|models/monsters/boss3/jorg/tris.md2|1.0|1.0|1.0|general|-80.0|-80.0|0.0|90.0|90.0|140.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Jorg|1.0|0.5|0.0
monster_makron|models/monsters/boss3/rider/tris.md2|1.0|1.0|1.0|general|-32.0|-32.0|0.0|32.0|32.0|80.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Makron|1.0|0.5|0.0
monster_medic|models/monsters/medic/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-24.0|16.0|16.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Medic|1.0|0.5|0.0
monster_mutant|models/monsters/mutant/tris.md2|1.0|1.0|1.0|general|-32.0|-32.0|-24.0|32.0|32.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Mutant|1.0|0.5|0.0
monster_parasite|models/monsters/parasite/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-24.0|16.0|16.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Parasite|1.0|0.5|0.0
monster_soldier_light|models/monsters/soldier/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-24.0|16.0|16.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Light Soldier|1.0|0.5|0.0
monster_soldier_ss|models/monsters/soldier/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-24.0|16.0|16.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|SS Soldier|1.0|0.5|0.0
monster_soldier|models/monsters/soldier/tris.md2|1.0|1.0|1.0|general|-16.0|-16.0|-24.0|16.0|16.0|32.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Soldier|1.0|0.5|0.0
monster_supertank|models/monsters/boss1/tris.md2|1.0|1.0|1.0|general|-64.0|-64.0|0.0|64.0|64.0|72.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Super Tank Boss|1.0|0.5|0.0
monster_tank_commander|models/monsters/tank/tris.md2|1.0|1.0|1.0|general|-32.0|-32.0|-16.0|32.0|32.0|72.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Tank Commander|1.0|0.5|0.0
monster_tank|models/monsters/tank/tris.md2|1.0|1.0|1.0|general|-32.0|-32.0|-16.0|32.0|32.0|72.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Tank|1.0|0.5|0.0
path_corner||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Path marker|0.5|0.3|0.0
point_combat||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Point of combat - should be the first/only target of a monster|0.5|0.3|0.04
target_actor||1.0|1.0|1.0|general|-8|-8|-8|8|8|8|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Actor path|.5|.3|0
target_blaster||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Blaster (use angles to point it)|1.0|0.0|0.0
target_changelevel||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Change level|1.0|0.0|0.0
target_character||1.0|1.0|1.0|general|0.0|0.0|0.0|0.0|0.0|0.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|single character for target_string|0.0|0.0|1.0
target_crosslevel_target||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Cross-level trigger|0.5|0.5|0.5
target_crosslevel_trigger||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Cross-level trigger|0.5|0.5|0.5
target_earthquake||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Level wide earthquake|1.0|0.0|0.0
target_explosion||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Explosion|1.0|0.0|0.0
target_goal||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Counts a goal completed|1.0|0.0|1.0
target_help||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Computer help message|1.0|0.0|1.0
target_laser||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Laser|0.0|0.5|0.8
target_lightramp||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Light ramp|0.0|0.5|0.8
target_secret||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Counts a secret found|1.0|0.0|1.0
target_spawner||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Monster/Item spawner|1.0|0.0|0.0
target_speaker||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Sound player|1.0|0.0|0.0
target_splash||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Creates a splash when used|1.0|0.0|0.0
target_string||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|func_clock holder for time string|0.0|0.0|1.0
target_temp_entity||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Temp entity|1.0|0.0|0.0
trigger_always||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Always triggers|0.5|0.5|0.5
trigger_counter||1.0|1.0|1.0|general|-8.0|-8.0|-8.0|8.0|8.0|8.0|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Counter|0.5|0.5|0.5
trigger_elevator||1.0|1.0|1.0|general|-8|-8|-8|8|8|8|shadow|0|0.0|0.0|0|0|0|0:0|0|0|none|Elevator trigger; note that whoever targets this must have a pathtarget set|0.3|0.1|0.6
